   step     dens     kT     pres         Lx      Ly      Lz          Px       Py       Pz         px        py        pz
    16400  2.9977  1.0020  21.8737     12.000  12.000  12.000      7.3284   7.2759   7.2694    -0.42E-12 -0.20E-13  0.71E-13
    16500  2.9977  1.0082  21.9508     12.000  12.000  12.000      7.2752   7.3430   7.3325    -0.56E-12 -0.11E-12  0.15E-12
    16600  2.9977  0.9969  21.9119     12.000  12.000  12.000      7.3155   7.3221   7.2743    -0.52E-12 -0.26E-12  0.60E-13
    16700  2.9977  1.0077  22.0543     12.000  12.000  12.000      7.3659   7.3758   7.3127    -0.29E-12 -0.40E-12  0.28E-12
    16800  2.9977  1.0198  22.0187     12.000  12.000  12.000      7.3327   7.3375   7.3484    -0.23E-12 -0.14E-12  0.45E-12
    16900  2.9977  1.0033  21.9417     12.000  12.000  12.000      7.3144   7.2790   7.3483    -0.44E-12 -0.44E-12  0.48E-12
    17000  2.9977  1.0139  22.0811     12.000  12.000  12.000      7.3421   7.3371   7.4019    -0.43E-12 -0.12E-12  0.63E-12
    17100  2.9977  1.0209  22.0499     12.000  12.000  12.000      7.3366   7.3390   7.3742    -0.10E-11 -0.77E-13  0.42E-12
    17200  2.9977  1.0102  21.9426     12.000  12.000  12.000      7.3158   7.3185   7.3082    -0.61E-12  0.30E-13  0.32E-12
    17300  2.9977  1.0065  21.9052     12.000  12.000  12.000      7.3411   7.2988   7.2653    -0.52E-12 -0.28E-13  0.15E-12
    17400  2.9977  1.0047  21.9320     12.000  12.000  12.000      7.3236   7.2701   7.3383    -0.54E-12  0.13E-12  0.17E-12
    17500  2.9977  1.0228  22.0997     12.000  12.000  12.000      7.3426   7.3915   7.3656    -0.79E-12 -0.52E-13  0.42E-12
    17600  2.9977  0.9930  21.8309     12.000  12.000  12.000      7.2520   7.2922   7.2868    -0.81E-12 -0.87E-13  0.56E-12
    17700  2.9977  1.0037  21.9801     12.000  12.000  12.000      7.3177   7.3642   7.2982    -0.67E-12 -0.10E-12  0.51E-12
    17800  2.9977  1.0044  21.9638     12.000  12.000  12.000      7.3257   7.3212   7.3169    -0.69E-12 -0.74E-13  0.26E-12
    17900  2.9977  1.0001  21.8981     12.000  12.000  12.000      7.2844   7.2804   7.3332    -0.87E-12 -0.15E-12  0.34E-12
    18000  2.9977  0.9801  21.8961     12.000  12.000  12.000      7.2909   7.3250   7.2802    -0.54E-12 -0.48E-14  0.58E-12
    18100  2.9977  0.9942  22.0343     12.000  12.000  12.000      7.3520   7.3263   7.3560    -0.80E-12 -0.13E-12  0.46E-12
    18200  2.9977  1.0166  22.0363     12.000  12.000  12.000      7.2948   7.3678   7.3737    -0.99E-12 -0.12E-12  0.53E-12
    18300  2.9977  1.0080  21.9674     12.000  12.000  12.000      7.2826   7.3303   7.3545    -0.72E-12  0.18E-13  0.55E-12
    18400  2.9977  0.9876  21.9937     12.000  12.000  12.000      7.2658   7.4092   7.3188    -0.68E-12 -0.84E-13  0.36E-12
    18500  2.9977  1.0036  21.8912     12.000  12.000  12.000      7.3002   7.2354   7.3556    -0.89E-12  0.77E-13  0.23E-12
    18600  2.9977  0.9849  21.9105     12.000  12.000  12.000      7.2732   7.2875   7.3498    -0.69E-12  0.16E-12  0.26E-12
    18700  2.9977  1.0011  21.9521     12.000  12.000  12.000      7.3601   7.2607   7.3313    -0.68E-12  0.25E-12  0.24E-12
    18800  2.9977  1.0077  22.0298     12.000  12.000  12.000      7.3527   7.3253   7.3518    -0.61E-12  0.29E-12  0.23E-12
    18900  2.9977  0.9983  21.9458     12.000  12.000  12.000      7.3262   7.3102   7.3094    -0.63E-12  0.31E-12  0.40E-12
    19000  2.9977  0.9910  21.9070     12.000  12.000  12.000      7.3363   7.3042   7.2665    -0.41E-12  0.49E-12  0.51E-12
    19100  2.9977  1.0124  21.9788     12.000  12.000  12.000      7.3466   7.3467   7.2856    -0.48E-12  0.44E-12  0.34E-12
    19200  2.9977  1.0089  21.9948     12.000  12.000  12.000      7.3699   7.3460   7.2790    -0.45E-12  0.52E-12  0.43E-12
    19300  2.9977  0.9826  21.9494     12.000  12.000  12.000      7.3419   7.3171   7.2904    -0.38E-12  0.64E-12  0.37E-12
    19400  2.9977  0.9942  21.9130     12.000  12.000  12.000      7.3305   7.2598   7.3226    -0.25E-12  0.76E-12  0.40E-12
    19500  2.9977  1.0012  21.9356     12.000  12.000  12.000      7.2634   7.3428   7.3293    -0.37E-12  0.67E-12  0.28E-12
    19600  2.9977  0.9907  22.0206     12.000  12.000  12.000      7.3162   7.3051   7.3993    -0.21E-12  0.73E-12  0.38E-12
    19700  2.9977  0.9865  21.9111     12.000  12.000  12.000      7.2966   7.2980   7.3164    -0.28E-12  0.68E-12  0.34E-12
    19800  2.9977  0.9895  21.7685     12.000  12.000  12.000      7.2376   7.2616   7.2693    -0.52E-12  0.72E-12  0.60E-12
    19900  2.9977  0.9993  21.9900     12.000  12.000  12.000      7.3202   7.3401   7.3297    -0.56E-12  0.96E-12  0.30E-12
    20000  2.9977  0.9943  21.8815     12.000  12.000  12.000      7.3293   7.2496   7.3026    -0.57E-12  0.96E-12  0.23E-12
    20100  2.9977  1.0062  22.1047     12.000  12.000  12.000      7.4007   7.3465   7.3576    -0.17E-12 -0.11E-12  0.55E-13
    20200  2.9977  0.9830  21.7864     12.000  12.000  12.000      7.2681   7.2345   7.2838    -0.15E-12 -0.14E-12 -0.95E-13
